time,sunny,cloudy,overcast,rainy
08:00,80.0,78.0,14.0,8.5
08:15,80.0,78.0,14.0,8.5
08:30,80.0,78.0,14.0,8.5
08:45,80.0,78.0,14.0,8.5
09:00,109.5,98.0,50.5,18.5
09:15,109.5,98.0,50.5,18.5
09:30,109.5,98.0,50.5,18.5
09:45,109.5,98.0,50.5,18.5
10:00,122.5,106.0,62.5,23.5
10:15,122.5,106.0,62.5,23.5
10:30,122.5,106.0,62.5,23.5
10:45,122.5,106.0,62.5,23.5
11:00,121.5,100.5,64.0,25.5
11:15,121.5,100.5,64.0,25.5
11:30,121.5,100.5,64.0,25.5
11:45,121.5,100.5,64.0,25.5
12:00,106.5,78.0,61.5,25.0
12:15,106.5,78.0,61.5,25.0
12:30,106.5,78.0,61.5,25.0
12:45,106.5,78.0,61.5,25.0
13:00,80.0,54.5,48.0,28.5
13:15,80.0,54.5,48.0,28.5
13:30,80.0,54.5,48.0,28.5
13:45,80.0,54.5,48.0,28.5
14:00,48.5,34.0,24.0,23.0
14:15,48.5,34.0,24.0,23.0
14:30,48.5,34.0,24.0,23.0
14:45,48.5,34.0,24.0,23.0
15:00,23.0,11.5,11.0,5.5
15:15,23.0,11.5,11.0,5.5
15:30,23.0,11.5,11.0,5.5
15:45,23.0,11.5,11.0,5.5
16:00,10.5,4.5,1.5,1.0
16:15,10.5,4.5,1.5,1.0
16:30,10.5,4.5,1.5,1.0
16:45,10.5,4.5,1.5,1.0
17:00,5.5,1.0,0.5,0.0
17:15,5.5,1.0,0.5,0.0
17:30,5.5,1.0,0.5,0.0
17:45,5.5,1.0,0.5,0.0
18:00,0.0,0.0,0.0,0.0
18:15,0.0,0.0,0.0,0.0
18:30,0.0,0.0,0.0,0.0
18:45,0.0,0.0,0.0,0.0
19:00,0.0,0.0,0.0,0.0
19:15,0.0,0.0,0.0,0.0
19:30,0.0,0.0,0.0,0.0
19:45,0.0,0.0,0.0,0.0
20:00,0.0,0.0,0.0,0.0
20:15,0.0,0.0,0.0,0.0
20:30,0.0,0.0,0.0,0.0
20:45,0.0,0.0,0.0,0.0
21:00,0.0,0.0,0.0,0.0
21:15,0.0,0.0,0.0,0.0
21:30,0.0,0.0,0.0,0.0
21:45,0.0,0.0,0.0,0.0
22:00,0.0,0.0,0.0,0.0
22:15,0.0,0.0,0.0,0.0
22:30,0.0,0.0,0.0,0.0
22:45,0.0,0.0,0.0,0.0
23:00,0.0,0.0,0.0,0.0
23:15,0.0,0.0,0.0,0.0
23:30,0.0,0.0,0.0,0.0
23:45,0.0,0.0,0.0,0.0
00:00,0.0,0.0,0.0,0.0
00:15,0.0,0.0,0.0,0.0
00:30,0.0,0.0,0.0,0.0
00:45,0.0,0.0,0.0,0.0
01:00,0.0,0.0,0.0,0.0
01:15,0.0,0.0,0.0,0.0
01:30,0.0,0.0,0.0,0.0
01:45,0.0,0.0,0.0,0.0
02:00,0.0,0.0,0.0,0.0
02:15,0.0,0.0,0.0,0.0
02:30,0.0,0.0,0.0,0.0
02:45,0.0,0.0,0.0,0.0
03:00,0.0,0.0,0.0,0.0
03:15,0.0,0.0,0.0,0.0
03:30,0.0,0.0,0.0,0.0
03:45,0.0,0.0,0.0,0.0
04:00,0.0,0.0,0.0,0.0
04:15,0.0,0.0,0.0,0.0
04:30,0.0,0.0,0.0,0.0
04:45,0.0,0.0,0.0,0.0
05:00,0.0,0.0,0.0,0.0
05:15,0.0,0.0,0.0,0.0
05:30,0.0,0.0,0.0,0.0
05:45,0.0,0.0,0.0,0.0
06:00,1.5,1.5,1.0,0.0
06:15,1.5,1.5,1.0,0.0
06:30,1.5,1.5,1.0,0.0
06:45,1.5,1.5,1.0,0.0
07:00,38.0,22.5,3.5,1.5
07:15,38.0,22.5,3.5,1.5
07:30,38.0,22.5,3.5,1.5
07:45,38.0,22.5,3.5,1.5
